epoch,burn_tokens,burn_usd,sma_burns,g_growth,share_T2,share_T3,nodes_T2,nodes_T3,hours_T2,hours_T3,avg_nodes_T2,avg_nodes_T3,avg_hours_per_wallet_T2,avg_hours_per_wallet_T3,avg_hpw_T2,avg_hpw_T3,r2,r3,x2,x3,anchor_prelogic,policy
37,4930.875550670001,18496.190502484817,3837.6732395658332,0.9948198059314408,0.8482224711077662,0.1517775288922339,62.0,117.0,0.0,0.0,61.916666666666664,124.33333333333333,0.0,0.0,0.0,0.0,-0.01978891820580475,-0.0033400133600535176,0.0,0.0,7655.466586979,27600.0
38,4920.6373652699995,28902.070019832532,3967.0008398200007,0.9277495197368861,0.8422611507857548,0.15773884921424522,61.0,119.0,0.0,0.0,61.666666666666664,123.16666666666667,0.0,0.0,0.0,0.0,-0.0237467018469657,-0.02054340622929085,0.0,0.0,7647.38396375883,27600.0
39,7560.59591228,53463.0594483372,4448.4032549325,1.085633745152017,0.8272241848579287,0.1727758151420713,63.0,121.0,0.0,0.0,61.75,122.66666666666667,0.0,0.0,0.0,0.0,-0.019841269841269882,-0.02838283828382837,0.0,0.0,9277.739940531294,27600.0
40,9186.62357780001,41125.08113249785,4818.678051843334,1.143192683569143,0.7879144855063472,0.21208551449365273,64.0,121.0,0.0,0.0,61.916666666666664,122.25,0.0,0.0,0.0,0.0,-0.01458885941644572,-0.03168316831683171,0.0,0.0,10327.355545185846,27600.0
41,8242.991136589997,55664.06184195932,5356.2758857191675,1.3350957684775402,0.7491191140731834,0.2508808859268165,63.0,123.0,0.0,0.0,62.416666666666664,121.25,0.0,0.0,0.0,0.0,-0.0026631158455393544,-0.04964075767472231,0.0,0.0,12507.417155541116,27600.0
42,15979.78744764001,94879.80341856886,6494.327621490836,1.721366398934225,0.7792653098872974,0.22073469011270264,63.0,124.0,0.0,0.0,62.5,121.33333333333333,0.0,0.0,0.0,0.0,0.0,-0.0527000650618088,0.0,0.0,17673.444972795587,27600.0
43,16524.48606675,100044.33645674447,7755.082515164168,2.309714487934083,0.7228775947386833,0.2771224052613167,61.0,124.0,0.0,0.0,62.5,121.58333333333333,0.0,0.0,0.0,0.0,0.002673796791443861,-0.045157068062827266,0.0,0.0,25667.108955563137,27600.0
44,7736.485974249999,29887.959233261474,7888.839396670835,1.9449797561888151,0.7724671311359301,0.22753286886406981,64.0,125.0,0.0,0.0,62.5,120.83333333333333,0.0,0.0,0.0,0.0,0.001335113484646211,-0.05660377358490576,0.0,0.0,23232.472323020396,27600.0
45,1487.2998218999994,10729.24187872225,7353.312118260002,1.3361067036513377,0.7758646555209602,0.22413534447903982,64.0,123.0,0.0,0.0,62.666666666666664,121.16666666666667,0.0,0.0,0.0,0.0,0.005347593582887722,-0.054001301236174415,0.0,0.0,17178.121733507807,27600.0
46,6446.195599960002,32419.8578490277,7277.384063380002,0.9886072204639031,0.7791527991775107,0.22084720082248938,64.0,123.0,0.0,0.0,62.75,121.58333333333333,0.0,0.0,0.0,0.0,0.009383378016085908,-0.03949967083607642,0.0,0.0,14471.85849452641,27600.0
47,8811.088767169995,49167.2230691054,7798.2269753058345,1.0899977341349447,0.7400469728895722,0.2599530271104278,64.0,124.0,0.0,0.0,62.916666666666664,121.83333333333333,0.0,0.0,0.0,0.0,0.014784946236559016,-0.03498349834983505,0.0,0.0,16298.276708659198,27600.0
48,8854.366357660005,64876.858366027,8390.119464828334,1.323210417670281,0.8319955705928503,0.16800442940714969,64.0,126.0,0.0,0.0,63.083333333333336,122.5,0.0,0.0,0.0,0.0,0.017473118279569988,-0.021956087824351322,0.0,0.0,19492.01294618739,27600.0
49,7879.664116089994,54691.85434372036,8635.85184528,1.2502832592013484,0.817499775560759,0.18250022443924097,63.0,127.0,0.0,0.0,63.166666666666664,123.33333333333333,0.0,0.0,0.0,0.0,0.020188425302826385,-0.008042895442359255,0.0,0.0,19433.11283637666,27600.0
50,9128.643103540013,80382.47923675356,8986.518990135835,1.2653181466287742,0.8093235922034752,0.19067640779652484,64.0,127.0,0.0,0.0,63.416666666666664,124.0,0.0,0.0,0.0,0.0,0.02837837837837842,0.006765899864682012,0.0,0.0,20357.324543378792,27600.0
51,16805.12133857,153796.45929804287,9756.896108993335,1.193347938538316,0.7984328653750511,0.20156713462494885,64.0,130.0,0.0,0.0,63.5,124.75,0.0,0.0,0.0,0.0,0.028340080971659853,0.016983695652173836,0.0,0.0,21400.26796719305,27600.0
52,31531.54575798001,295071.25091805786,11618.97295734167,1.4112366155894054,0.8229362192960165,0.17706378070398351,64.0,132.0,0.0,0.0,63.5,125.66666666666667,0.0,0.0,0.0,0.0,0.025572005383580176,0.027948193592365334,0.0,0.0,28016.093030285352,27600.0
53,21401.755091680006,158411.57201496337,12715.536620265835,1.37395102335334,0.7948670871954421,0.20513291280455787,64.0,133.0,0.0,0.0,63.583333333333336,126.5,0.0,0.0,0.0,0.0,0.01869158878504673,0.04329896907216502,0.0,0.0,30186.061172166952,27600.0
54,30717.755562189974,109618.6255825994,13943.700629811668,1.1470583934924363,0.7901347656824079,0.20986523431759202,63.0,128.0,0.0,0.0,63.583333333333336,126.83333333333333,0.0,0.0,0.0,0.0,0.017333333333333423,0.04532967032967039,0.0,0.0,29937.939473582912,27600.0
55,4737.404229019995,17487.815212897873,12961.443810000832,0.671348278326662,0.8004342182758929,0.1995657817241071,64.0,135.0,0.0,0.0,63.833333333333336,127.75,0.0,0.0,0.0,0.0,0.021333333333333426,0.05071967100753949,0.0,0.0,21663.08679647266,27600.0
56,2575.5930214399978,18350.69388648537,12531.369397266666,0.5884934103938055,0.7670224241923129,0.2329775758076872,63.0,136.0,0.0,0.0,63.75,128.66666666666666,0.0,0.0,0.0,0.0,0.020000000000000018,0.06482758620689655,0.0,0.0,19905.997710768694,27600.0
57,3579.597069960003,26036.32937747236,12705.727501271665,0.7278917713448283,0.8256072819649726,0.17439271803502746,64.0,136.0,0.0,0.0,63.75,129.75,0.0,0.0,0.0,0.0,0.017287234042553168,0.07083906464924339,0.0,0.0,21954.121998396997,27600.0
58,5904.6381734799925,40564.294480925484,12660.597715731665,0.7397182291697566,0.8156852550492915,0.18431474495070857,65.0,136.0,0.0,0.0,63.833333333333336,130.83333333333334,0.0,0.0,0.0,0.0,0.01726427622841964,0.07607950651130913,0.0,0.0,22025.872638243356,27600.0
59,4335.54701605,24527.475764644947,12287.63590313833,0.5756961091346573,0.7980702419626791,0.2019297580373209,65.0,136.0,0.0,0.0,63.916666666666664,131.83333333333334,0.0,0.0,0.0,0.0,0.015894039735099286,0.08207934336525313,0.0,0.0,19361.58008303839,27600.0
