wallet,tier,newer_node
7vbydps5xvlhoxc5hvxbnjddxrsuzvf1yt4zcgdrqwem,T2,False
7vht7gdfj5ynqgza6kzlabphv2hpxdkkmn8nqv8sud8u,T3,False
7xmtmzbqhapu7xd6bbuql5ceb8hrthg7p1i6y4qnqnsx,T2,False
7z2gvgb47pq6tdmhpmrog8mz9mrefvib99zi2nx9xvsg,T3,False
81tz6ivagj4ywmyxoed1vx5rehhsg3c2ckyauomu2mgp,T2,False
85975vsbuezvfdekzqa5pas4ddadg5ywkzukrwj1kg2e,T2,False
8afb7y4vdpgfgtn2q3jyj8wu94fth1dnwokksafabvih,T3,False
8ilbavyzzaratnndpbq1ckpy92k3pr3mdgewllnvz6pm,T2,False
8iw1vgnaabzhknyk4jr1z96efkqspwzyhbpvj4rxm8hg,T2,False
8kxaq8xezv51nre2s1sk2m35ngwy6bj7bqvdbta2p25w,T3,False
8lbncqy2zsakbtrukrbyrthnxwqvjqd3xevaxaq9sgjv,T3,False
8mrkk1ukdjrn7dvj2rjhjx5jlkgrxataj5vatsfxkgg7,T2,False
8srciuhbp7dgbzxm3chllf9gxzd5obza8anfwtnnrasp,T3,False
8tcfk5ja2z5pdkqfjvjtusmffyh2ijzsgaegg5btruoe,T3,False
8u1bxb88m6uvuqu7idffds8shv9tvntz5c8s7scaanrt,T3,False
8vlxy1zhrm5ny7exctpkgjf63busbgmwv2orm85tokvx,T3,False
8vmkmbkyyccjbkk484vdesai5s8xjpmqjiizqsebdxps,T3,False
8vsu5kumwb1kzpb7jhhbsakzcdxfrfakqvvmwp1g9d9r,T3,False
8wkhjczknzjdkfmit49bgspkfpfwpwnjsxu86zglvhsp,T3,False
8zlkfduzry4k9smvgmtsjsl7uon86w42eqpxecjpax8q,T2,False
96ir38a2jf4nxmvv4tn4upufevbasqyirvdjtdffa1va,T3,False
97hsu7hsindlpkmtnrtracqyn33158mzyprc59k5p5hw,T2,False
98kayispjp1mgx4xgas1vv2dtubexeg1fgptqepfsehh,T3,False
9delwzsffy21zuwculjyvsucp44mfyqs2uz5bxks4yg4,T3,False
9f4wyywjw4f86w8hleejwxm2374vaumk3vkmtwss5tk7,T3,False
9jgpniunfuonbvsabdjmcy9faoy1azrpq5ku13w7dchh,T3,False
9o1x8xmlttkfz5keukeqqbvbbv7gscdsr5u7b7d3q87y,T3,False
9yd9fcxwpyrtfjcsbcsy267unl6jwx43cwpshzti39x1,T2,False
a6fvtif4xcw3p6uod7kydzlj6nf6ymfsq8vjql9cxckd,T3,False
a89gpcrvtcchkfqx2vocmp9fmujckzdf1a9idh8mkcdc,T3,False
a98p6t7miov52nt77rzh2aa6jdggx62vjqxr71wfugjg,T3,False
a9ze1aveeegyrtfyl3xwfn3bn38gn9mmt53apmdmbup5,T2,False
aahwfzkj8u1e7jynbz2v561excz41uv123xzjayo3gdt,T3,False
ab31t76zpekscmsbwdefoprwnbrzj6swdeka8mkoaq5a,T2,False
ac6gr8r6ltsvfzfyispc1bnevg7smrc2wrzqjbydtrpz,T2,False
adstrw5npxfge4guorrkvxctpvjsvz3z4vgptn11vjk2,T3,False
aivmzyziihau1mcryamh2s5klfihkhvcoefyqs1gym8t,T2,False
